ID_meta_hmfSampleId;aneuploidy_score
HMF004729A;15
HMF004752A;7
HMF004762A;27
HMF004764A;8
HMF004787A;25
HMF004791A;10
HMF004801A;29
HMF004804A;25
HMF004821A;24
HMF004848A;13
HMF004855A;28
HMF004878A;19
HMF004880A;21
HMF004884A;24
HMF004906A;9
HMF004922A;18
HMF004923A;10
HMF004936A;28
HMF004941A;6
HMF004965A;21
HMF004971A;25
HMF004973A;16
HMF004979A;21
HMF005006A;8
HMF005010A;16
HMF005011A;23
HMF005021A;15
HMF005022A;22
HMF005030A;28
HMF005071A;7
HMF005110A;26
HMF005128A;26
HMF005129A;9
HMF005131A;12
HMF005139A;24
HMF005141A;21
HMF005145A;23
HMF005152A;12
HMF005154A;27
HMF005156A;27
HMF000327A;22
HMF000328A;11
HMF000343A;25
HMF000440A;13
HMF000471A;21
HMF000544A;23
HMF000546A;6
HMF000810A;15
HMF000905A;22
HMF001101B;6
HMF001311B;19
HMF001472A;22
HMF001552A;13
HMF001564A;18
HMF001665A;15
HMF001705A;4
HMF001735B;24
HMF001789A;24
HMF001824A;23
HMF002012A;6
HMF002245A;20
HMF002482A;20
HMF002632A;8
HMF002643B;14
HMF002859A;20
HMF002921A;7
HMF002941A;12
HMF003040A;4
HMF003505A;0
HMF003532A;8
HMF003548A;22
HMF003612A;10
HMF003708A;13
HMF003709A;24
HMF004625A;20
HMF004667A;15
HMF004741A;27
HMF005047A;20
HMF005119A;19
HMF005124A;8
HMF000068A;21
HMF000132A;8
HMF000245A;26
HMF000317A;21
HMF000339A;11
HMF000358A;16
HMF000412A;23
HMF000585A;11
HMF000638A;18
HMF000721A;7
HMF000963A;28
HMF000966A;24
HMF001035A;12
HMF001040A;13
HMF001139A;27
HMF001193A;12
HMF001230A;25
HMF001321A;24
HMF001354A;23
HMF001407A;23
HMF001457A;24
HMF001479A;13
HMF001561A;12
HMF001588A;14
HMF001759A;23
HMF001827A;22
HMF001861A;26
HMF001876A;7
HMF001889B;8
HMF001896A;25
HMF001904A;10
HMF001952A;14
HMF002048A;13
HMF002275A;15
HMF002294A;19
HMF002398B;4
HMF002440A;27
HMF002507A;18
HMF002577A;20
HMF002621A;14
HMF002623A;7
HMF002626A;28
HMF002685A;14
HMF002695A;24
HMF002705A;22
HMF002709A;16
HMF002727A;10
HMF002793A;20
HMF002826A;15
HMF002929A;7
HMF002947A;25
HMF002992A;11
HMF003076A;18
HMF003194A;11
HMF003271A;11
HMF003424A;27
HMF003426A;11
HMF003542A;22
HMF003572A;21
HMF003687A;13
HMF004173A;8
HMF004408A;18
HMF004649A;7
HMF004698A;26
HMF004705A;8
HMF004754A;8
HMF000008B;5
HMF000011A;11
HMF000015A;17
HMF000020B;12
HMF000022A;23
HMF000023A;26
HMF000032A;7
HMF000036A;23
HMF000037A;21
HMF000041A;11
HMF000042B;13
HMF000049A;12
HMF000062A;24
HMF000067A;11
HMF000074C;27
HMF000075A;24
HMF000089A;28
HMF000096B;8
HMF000098A;16
HMF000104A;23
HMF000112B;24
HMF000136A;22
HMF000152B;17
HMF000156A;22
HMF000166A;24
HMF000167A;19
HMF000169A;27
HMF000202A;22
HMF000207A;17
HMF000211A;26
HMF000229A;22
HMF000231A;12
HMF000234A;16
HMF000264A;2
HMF000272A;25
HMF000285A;13
HMF000286A;25
HMF000287A;12
HMF000303A;15
HMF000306A;13
HMF000318A;7
HMF000348A;28
HMF000349A;21
HMF000355A;18
HMF000364A;16
HMF000365A;21
HMF000369A;28
HMF000378A;21
HMF000379A;9
HMF000388A;17
HMF000398A;13
HMF000400A;21
HMF000401A;22
HMF000402A;21
HMF000436A;10
HMF000441A;16
HMF000461A;22
HMF000467A;26
HMF000468A;22
HMF000469A;17
HMF000494A;11
HMF000512B;2
HMF000522B;24
HMF000523B;27
HMF000527A;16
HMF000533A;23
HMF000541A;20
HMF000547A;22
HMF000552A;14
HMF000553A;24
HMF000555A;22
HMF000559A;23
HMF000560A;11
HMF000566A;15
HMF000572A;12
HMF000587A;11
HMF000595A;25
HMF000596B;26
HMF000606A;15
HMF000614A;25
HMF000628C;28
HMF000630A;28
HMF000641B;15
HMF000642A;13
HMF000644A;7
HMF000650A;20
HMF000664A;24
HMF000667A;21
HMF000687A;18
HMF000689A;22
HMF000707A;14
HMF000720A;28
HMF000741A;29
HMF000742A;11
HMF000745A;11
HMF000747A;18
HMF000752A;24
HMF000753B;10
HMF000756A;10
HMF000760A;23
HMF000779A;27
HMF000799A;24
HMF000813A;25
HMF000814A;19
HMF000821A;21
HMF000833A;20
HMF000845A;21
HMF000850A;28
HMF000852A;25
HMF000853A;21
HMF000859A;12
HMF000869A;27
HMF000870A;24
HMF000872A;6
HMF000882A;15
HMF000898A;21
HMF000904A;13
HMF000906A;12
HMF000916A;7
HMF000930A;18
HMF000957A;26
HMF001005A;25
HMF001010A;20
HMF001016A;21
HMF001022A;16
HMF001023A;19
HMF001026A;15
HMF001027A;21
HMF001049A;21
HMF001051A;30
HMF001060A;18
HMF001085A;10
HMF001097B;25
HMF001099A;4
HMF001104A;19
HMF001105A;26
HMF001107B;2
HMF001121A;19
HMF001131B;15
HMF001140A;24
HMF001142A;26
HMF001146A;7
HMF001156A;14
HMF001176A;22
HMF001184B;31
HMF001198A;27
HMF001205A;24
HMF001210A;16
HMF001212A;24
HMF001213A;28
HMF001234A;17
HMF001238A;26
HMF001242A;10
HMF001249A;19
HMF001255A;28
HMF001256A;22
HMF001270A;11
HMF001277A;14
HMF001279A;12
HMF001284A;19
HMF001287A;23
HMF001297A;10
HMF001301A;9
HMF001302A;13
HMF001303A;23
HMF001307A;28
HMF001319A;26
HMF001328A;9
HMF001342A;25
HMF001346A;26
HMF001370A;2
HMF001371A;5
HMF001379B;17
HMF001388A;19
HMF001404A;24
HMF001408A;13
HMF001413A;28
HMF001424A;15
HMF001429A;21
HMF001432B;23
HMF001438A;12
HMF001444A;21
HMF001458A;24
HMF001486A;20
HMF001490A;2
HMF001497A;6
HMF001498A;21
HMF001499A;22
HMF001500A;18
HMF001501A;29
HMF001503A;20
HMF001505A;9
HMF001508A;15
HMF001512A;12
HMF001513A;24
HMF001520A;27
HMF001522A;24
HMF001538A;20
HMF001544A;10
HMF001548A;11
HMF001550A;15
HMF001577A;13
HMF001583A;26
HMF001590A;19
HMF001599A;27
HMF001601A;17
HMF001604A;17
HMF001642A;15
HMF001649A;13
HMF001651A;4
HMF001652A;14
HMF001653A;25
HMF001655A;21
HMF001658A;16
HMF001674A;15
HMF001688A;7
HMF001695A;24
HMF001704A;21
HMF001723A;9
HMF001724A;22
HMF001756A;24
HMF001762A;19
HMF001767A;13
HMF001773A;21
HMF001783A;10
HMF001796B;20
HMF001804A;29
HMF001830A;21
HMF001832B;27
HMF001838A;26
HMF001840A;23
HMF001856A;12
HMF001859A;20
HMF001869A;23
HMF001871A;21
HMF001872A;18
HMF001875A;12
HMF001922A;8
HMF001927A;21
HMF001942A;14
HMF001944A;29
HMF001946A;16
HMF001951A;25
HMF001960A;6
HMF001965A;23
HMF001968A;25
HMF001993A;17
HMF001998A;22
HMF002000A;8
HMF002005A;27
HMF002017B;30
HMF002027A;27
HMF002045A;13
HMF002053A;10
HMF002057A;23
HMF002059A;12
HMF002082A;12
HMF002100A;9
HMF002107A;24
HMF002111A;25
HMF002128A;25
HMF002138A;24
HMF002144A;3
HMF002148B;25
HMF002194A;22
HMF002204A;26
HMF002205A;9
HMF002209A;28
HMF002213A;16
HMF002223A;22
HMF002224A;9
HMF002232B;12
HMF002236A;13
HMF002239A;23
HMF002240A;9
HMF002246A;10
HMF002255A;24
HMF002273A;20
HMF002274A;20
HMF002276A;24
HMF002281A;17
HMF002283A;10
HMF002284A;13
HMF002292A;24
